,, ,,,,
наплевать в лицо,"1. Я не мог поверить, что он наплевал мне в лицо, когда я сказал ему, что не хочу работать на его фирме. (I couldn't believe that he slapped me in the face when I told him I didn't want to work for his company.)2. Она наплевала ему в лицо, когда он попытался ее обмануть. (She slapped him in the face when he tried to cheat her.)3. Он наплевал в лицо своей матери, когда она попросила его перестать курить. (He slapped his mother in the face when she asked him to stop smoking.)4. Мы наплевали друг другу в лицо, когда мы обсуждали нашу разрушенную связь. (We slapped each other in the face when we discussed our broken relationship.)5. У нас в семье наплевать в лицо, когда мы спорим о политике. (In our family, we slap each other in the face when we argue about politics.)6. Она наплевала в лицо своей сестре, когда она узнала, что она украла ее денежку. (She slapped her sister in the face when she found out that she had stolen her money.)7. Он наплевал в лицо своему другу, когда тот попытался его обмануть. (He slapped his friend in the face when he tried to cheat him.)8. Мы наплевали в лицо нашей коллеге, когда она сказала, что не может работать с нами. (We slapped our colleague in the face when she said she couldn't work with us.)9. У нас в команде наплевать в лицо, когда мы обсуждаем нашу стратегию. (In our team, we slap each other in the face when we discuss our strategy.)10. Она наплевала в лицо своей матери, когда она попросила ее перестать заниматься спортом. (She slapped her mother in the face when she asked her to stop playing sports.)11. Он наплевал в лицо своему отцу, когда тот попытался его stopping him from going out with his friends. (He slapped his father in the face when he tried to stop him from going out with his friends.)12. Мы наплевали друг другу в лицо, когда мы обсуждали нашу любовь к музыке. (We slapped each other in the face when we discussed our love for music.)13. У нас в семье наплевать в лицо, когда мы спорим о наших разных интересах. (In our family, we slap each other in the face when we argue about our different interests.)14. Она наплевала в лицо своей сестре, когда она узнала, что она скрыла ее вещи. (She slapped her sister in the face when she found out that she had hidden her things.)",,,,,
дело жизни и смерти,"1. Я считаю, что это дело жизни и смерти, чтобы мы смогли решить нашу проблему. (I think this is a matter of life and death, and we need to solve our problem.)2. Она сказала, что ее карьера - дело жизни и смерти, и она не может позволить себе проигнорировать ее. (She said that her career is a matter of life and death, and she cannot afford to ignore it.)3. Он сказал, что его здоровье - дело жизни и смерти, и он не может позволить себе не следить за ним. (He said that his health is a matter of life and death, and he cannot afford to neglect it.)4. Мы считаем, что наша миссия - дело жизни и смерти, и мы не можем позволить себе не справляться с ней. (We think that our mission is a matter of life and death, and we cannot afford to fail.)5. У нас в семье дело жизни и смерти, когда мы обсуждаем нашу финансовую ситуацию. (In our family, we consider our financial situation a matter of life and death, and we discuss it seriously.)6. Она сказала, что ее отношения - дело жизни и смерти, и она не может позволить себе не инвестировать в них. (She said that her relationships are a matter of life and death, and she cannot afford to not invest in them.)7. Он сказал, что его работа - дело жизни и смерти, и он не может позволить себе не справляться с ней. (He said that his job is a matter of life and death, and he cannot afford to not do it well.)8. Мы считаем, что наша планета - дело жизни и смерти, и мы не можем позволить себе не заботиться о ней. (We think that our planet is a matter of life and death, and we cannot afford to not take care of it.)9. У нас в команде дело жизни и смерти, когда мы обсуждаем нашу стратегию. (In our team, we consider our strategy a matter of life and death, and we discuss it seriously.)10. Она сказала, что ее образование - дело жизни и смерти, и она не может позволить себе не получать высшее образование. (She said that her education is a matter of life and death, and she cannot afford to not get a higher education.)11. Он сказал, что его семья - дело жизни и смерти, и он не может позволить себе не заботиться о них. (He said that his family is a matter of life and death, and he cannot afford to not take care of them.)12. Мы считаем, что наша репутация - дело жизни и смерти, и мы не можем позволить себе не защищать ее. (We think that our reputation is a matter of life and death, and we cannot afford to not defend it.)",,,,,
гром и молния,"1. Я был поражен громом и молнией, когда увидел свою любимую звезду на улице. (I was struck by thunder and lightning when I saw my favorite star on the street.)2. Она гром и молния, когда узнала, что ее партнер выиграл крупную сумму денег в лотерее. (She was struck by thunder and lightning when she found out that her partner had won a large sum of money in the lottery.)3. Он гром и молния, когда увидел, что его друг купил новый дом. (He was struck by thunder and lightning when he saw that his friend had bought a new house.)4. Мы гром и молния, когда увидели, что наша команда выиграла чемпионат. (We were struck by thunder and lightning when we saw that our team had won the championship.)5. У нас в семье гром и молния, когда мы увидели, что наша дочь получила отличную оценку на экзамене. (In our family, we were struck by thunder and lightning when we saw that our daughter had received an excellent grade on her exam.)6. Она гром и молния, когда узнала, что ее мама подарила ей новый автомобиль. (She was struck by thunder and lightning when she found out that her mother had given her a new car.)7. Он гром и молния, когда увидел, что его сосед создал новый рекорд в марафоне. (He was struck by thunder and lightning when he saw that his neighbor had set a new record in the marathon.)8. Мы гром и молния, когда увидели, что наша страна выиграла приз за лучший фильм на кинофестивале. (We were struck by thunder and lightning when we saw that our country had won the prize for the best film at the film festival.)9. У нас в команде гром и молния, когда мы увидели, что наша новая продукция стала бестселлером. (In our team, we were struck by thunder and lightning when we saw that our new product had become a bestseller.)10. Она гром и молния, когда узнала, что ее парень сделал ее любимый обед. (She was struck by thunder and lightning when she found out that her boyfriend had made her favorite meal.)11. Он гром и молния, когда увидел, что его друг смог решить сложную задачу. (He was struck by thunder and lightning when he saw that his friend had solved a difficult problem.)12. Мы гром и молния, когда увидели, что наша племянница получила премию за свою научную работу. (We were struck by thunder and lightning when we saw that our niece had received a prize for her scientific work.)",,,,,
впиваться глазами,"1. Она впивалась глазами в его лицо, когда он говорил о своей любви к ней. (She pierced him with her eyes when he spoke about his love for her.)2. Он впивался глазами в ее руки, когда она играла на пианино. (He stared intently at her hands when she played the piano.)3. Мы впивались глазами в нашу новую дом, когда мыfirst saw it. (We stared intently at our new home when we first saw it.)4. У нас в семье впиваться глазами, когда мы обсуждаем нашу стратегию. (In our family, we stare intently at each other when we discuss our strategy.)5. Она впивалась глазами в его голос, когда он поет. (She pierced him with her eyes when he sang.)6. Он впивался глазами в ее улыбку, когда она рассказывала о своей новой работе. (He stared intently at her smile when she talked about her new job.)7. Мы впивались глазами в нашу новую машину, когда мы ее купили. (We stared intently at our new car when we bought it.)8. У нас в команде впиваться глазами, когда мы обсуждаем нашу тактику. (In our team, we stare intently at each other when we discuss our tactics.)9. Она впивалась глазами в его одежду, когда он пришел на встречу. (She pierced him with her eyes when he came to the meeting.)10. Он впивался глазами в ее книги, когда она читала. (He stared intently at her books when she was reading.)11. Мы впивались глазами в нашу новую квартиру, когда мы ее посетили. (We stared intently at our new apartment when we visited it.)12. У нас в семье впиваться глазами, когда мы обсуждаем нашу финансовую ситуацию. (In our family, we stare intently at each other when we discuss our financial situation.)13. Она впивалась глазами в его рисунок, когда он показывал ей свои работы. (She pierced him with her eyes when he showed her his drawings.)14. Он впивался глазами в ее фотографии, когда она показывала ему свои снимки. (He stared intently at her photos when she showed them to him.)15. Мы впивались глазами в нашу новую технику, когда мы ее испытывали. (We stared intently at our new technology when we tested it.)",,,,,
остолбенеть от удивления,"1. Я был остолбенеть от удивления, когда увидел свою любимую звезду на улице. (I was struck dumb with surprise when I saw my favorite star on the street.)2. Она остолбенеть от удивления, когда узнала, что ее партнер выиграл крупную сумму денег в лотерее. (She was amazed when she found out that her partner had won a large sum of money in the lottery.)3. Он остолбенеть от удивления, когда увидел, что его друг купил новый дом. (He was amazed when he saw that his friend had bought a new house.)4. Мы остолбенеть от удивления, когда увидели, что наша команда выиграла чемпионат. (We were amazed when we saw that our team had won the championship.)5. У нас в семье остолбенеть от удивления, когда мы увидели, что наша дочь получила отличную оценку на экзамене. (In our family, we were amazed when we saw that our daughter had received an excellent grade on her exam.)6. Она остолбенеть от удивления, когда узнала, что ее мама подарила ей новый автомобиль. (She was amazed when she found out that her mother had given her a new car.)7. Он остолбенеть от удивления, когда увидел, что его сосед создал новый рекорд в марафоне. (He was amazed when he saw that his neighbor had set a new record in the marathon.)8. Мы остолбенеть от удивления, когда увидели, что наша страна выиграла приз за лучший фильм на кинофестивале. (We were amazed when we saw that our country had won the prize for the best film at the film festival.)9. У нас в команде остолбенеть от удивления, когда мы увидели, что наша новая продукция стала бестселлером. (In our team, we were amazed when we saw that our new product had become a bestseller.)10. Она остолбенеть от удивления, когда узнала, что ее парень сделал ее любимый обед. (She was amazed when she found out that her boyfriend had made her favorite meal.)11. Он остолбенеть от удивления, когда увидел, что его друг смог решить сложную задачу. (He was amazed when he saw that his friend had solved a difficult problem.)12. Мы остолбенеть от удивления, когда увидели, что наша племянница получила премию за свою научную работу. (We were amazed when we saw that our niece had received a prize for her scientific work.)",,,,,
возвышать голос,"1. Я возвысил свой голос, чтобы предупредить их о опасности. (I raised my voice to warn them of the danger.)2. Она возвысила свой голос, чтобы выразить свое недовольство. (She raised her voice to express her dissatisfaction.)3. Он возвысил свой голос, чтобы привлечь внимание к своей точке зрения. (He raised his voice to draw attention to his point of view.)4. Мы возвысили свои голоса, чтобы протестовать против несправедливости. (We raised our voices to protest against injustice.)5. У нас в семье всегда возвышают голоса, когда мы обсуждаем важные вопросы. (In our family, we always raise our voices when discussing important issues.)6. Она возвысила свой голос, чтобы прервать неприятный момент. (She raised her voice to interrupt an unpleasant moment.)7. Он возвысил свой голос, чтобы отвлечься от проблем. (He raised his voice to distract himself from his problems.)8. Мы возвысили свои голоса, чтобы выразить свою радость. (We raised our voices to express our joy.)9. У нас в команде всегда возвышают голоса, когда мы празднуем успехи. (In our team, we always raise our voices when celebrating successes.)10. Она возвысила свой голос, чтобы привлечь внимание к своей проблеме. (She raised her voice to draw attention to her problem.)11. Он возвысил свой голос, чтобы выразить свое не согласие. (He raised his voice to express his disagreement.)12. Мы возвысили свои голоса, чтобы заставить их слушать нас. (We raised our voices to make them listen to us.)13. У нас в семье возвышают голоса, когда мы обсуждаем нашу будущность. (In our family, we raise our voices when discussing our future.)14. Она возвысила свой голос, чтобы предотвратить конфликт. (She raised her voice to prevent a conflict.)15. Он возвысил свой голос, чтобы выразить свое беспокойство. (He raised his voice to express his anxiety.)16. Мы возвысили свои голоса, чтобы выразить свою признательность. (We raised our voices to express our gratitude.)17. У нас в команде всегда возвышают голоса, когда мы обсуждаем нашу стратегию. (In our team, we always raise our voices when discussing our strategy.)18. Она возвысила свой голос, чтобы привлечь внимание к своей идее. (She raised her voice to draw attention to her idea.)19. Он возвысил свой голос, чтобы выразить свое недовольство с ситуацией. (He raised his voice to express his dissatisfaction with the situation.)",,,,,
нет ни одной копейки,"1. Я не имею ни одной копейки, я должен найти работу, чтобы платить за свою жизнь. (I don't have a single penny, I need to find a job to pay for my life.)2. Она не может покинуть свою работу, потому что у нее нет ни одной копейки для жизненных расходов. (She can't quit her job because she doesn't have a single penny for living expenses.)3. Он не может заплатить за свою кредитную карточку, у него нет ни одной копейки. (He can't pay for his credit card, he doesn't have a single penny.)4. Мы не можем поехать на каникулы, у нас нет ни одной копейки для путешествия. (We can't go on vacation, we don't have a single penny for travel.)5. У нас в семье нет ни одной копейки на покупку новых одеял, мы должны носить старые. (In our family, we don't have a single penny to buy new clothes, we have to wear old ones.)6. Она не может купить новый компьютер, у нее нет ни одной копейки. (She can't buy a new computer, she doesn't have a single penny.)7. Он не может заплатить за свои лекарства, у него нет ни одной копейки. (He can't pay for his medication, he doesn't have a single penny.)8. Мы не можем платить за нашу аренду, у нас нет ни одной копейки. (We can't pay for our rent, we don't have a single penny.)9. У нас в команде нет ни одной копейки на покупку новой техники, мы должны использовать старую. (In our team, we don't have a single penny to buy new technology, we have to use old ones.)10. Она не может покинуть свою работу, потому что у нее нет ни одной копейки для жизненных расходов. (She can't quit her job because she doesn't have a single penny for living expenses.)11. Он не может заплатить за свою кредитную карточку, у него нет ни одной копейки. (He can't pay for his credit card, he doesn't have a single penny.)12. Мы не можем поехать на каникулы, у нас нет ни одной копейки для путешествия. (We can't go on vacation, we don't have a single penny for travel.)",,,,,
надоесть как редька,"1. Я надоела от этой работы, я хочу перемен! (I've had enough of this job, I want a change!)2. Он надоел от своей жены, он хочет развод. (He's had enough of his wife, he wants a divorce.)3. У нас надоело от постоянных проблем с электричеством в нашем доме. (We've had enough of the constant electricity problems in our home.)4. Она надоела от своих детей, они всегда создают проблемы. (She's had enough of her children, they're always causing trouble.)5. Мы надоели от постоянных звонков и сообщений на работе. (We've had enough of the constant calls and messages at work.)6. Он надоел от своей работы, он хочет уйти на пенсию. (He's had enough of his job, he wants to retire.)7. Я надоела от этого города, я хочу переехать в другой город. (I've had enough of this city, I want to move to another city.)8. Они надоели от постоянных конфликтов в их отношениях. (They've had enough of the constant conflicts in their relationship.)9. У нас надоело от постоянных затрат на жизнь в этом городе. (We've had enough of the constant expenses of living in this city.)10. Он надоел от своей должности, он хочет стать свободным человеком. (He's had enough of his position, he wants to be a free man.)11. Мы надоели от постоянных проблем с нашими соседями. (We've had enough of the constant problems with our neighbors.)12. Она надоела от своей работы, она хочет уйти на пенсию. (She's had enough of her job, she wants to retire.)13. Он надоел от постоянных звонков и сообщений от его бывшей девушки. (He's had enough of the constant calls and messages from his ex-girlfriend.)14. У нас надоело от постоянных проблем с нашими автомобилями. (We've had enough of the constant problems with our cars.)15. Они надоели от постоянных проблем с их здоровьем. (They've had enough of the constant health problems.)16. Я надоела от постоянных проблем с моим боссом. (I've had enough of the constant problems with my boss.)17. Он надоел от постоянных проблем с его деловой деятельностью. (He's had enough of the constant problems with his business.)18. Мы надоели от постоянных проблем с нашими кредиторами. (We've had enough of the constant problems with our creditors.)19. Она надоела от постоянных проблем с ее мамой.()",,,,,
из капли океана,"1. Этот проект - только из капли океана, но он может помочь решить большую проблему. (This project is just a drop in the ocean, but it can help solve a big problem.)2. Я пожертвовал 1000 рублей на благотворительность, но это только из капли океана в сравнении с тем, что нужно сделать. (I donated 1000 rubles to charity, but it's just a drop in the ocean compared to what needs to be done.)3. У нас в компании новый руководитель, но он не может решить все проблемы самостоятельно, это только из капли океана. (We have a new manager at our company, but he can't solve all the problems alone, it's just a drop in the ocean.)4. Она попыталась помочь беднякам, но ее помощь была только из капли океана в сравнении с тем, что они действительно нуждаются. (She tried to help the poor, but her help was just a drop in the ocean compared to what they really need.)5. Этот новый закон не решит проблему с загрязнением воздуха, это только из капли океана. (This new law won't solve the problem of air pollution, it's just a drop in the ocean.)6. Я смог собрать только 10000 рублей на операцию для моего друга, но это только из капли океана в сравнении с тем, что нужно для его лечения. (I could only gather 10,000 rubles for my friend's operation, but it's just a drop in the ocean compared to what he needs for his treatment.)7. У нас в городе новый сервис для утилизации мусора, но это только из капли океана в сравнении с тем, что нужно сделать, чтобы решить эту проблему. (We have a new waste disposal service in our city, but it's just a drop in the ocean compared to what needs to be done to solve the problem.)8. Она попробовала помочь бездомным, но ее усилия были только из капли океана в сравнении с тем, что они действительно нуждаются. (She tried to help the homeless, but her efforts were just a drop in the ocean compared to what they really need.)9. Этот новый продукт может помочь решить проблему с загрязнением воды, но это только из капли океана. (This new product may help solve the problem of water pollution, but it's just a drop in the ocean.)10. Я не могу решить эту проблему самостоятельно, это только из капли океана. (I can't solve this problem on my own, it's just a drop in the ocean.)11. У нас в компании новый проект для помощи детям, но это только из капли океана в сравнении с тем, что нужно сделать. ()",,,,,
попасть на след,"1. Я попал на след своей жены, когда она постоянно звонила мне на работу. (I got on my wife's nerves when she kept calling me at work.)2. Он попал на след своего босса, когда он не мог выполнить его требования. (He got on his boss's nerves when he couldn't meet his demands.)3. У нас в семье постоянно попадаем на след друг другу, но мы всегда находим способ разобраться. (We always get on each other's nerves in our family, but we always find a way to work it out.)4. Она попала на след своей матери, когда она не могла выполнить ее требования. (She got on her mother's nerves when she couldn't meet her demands.)5. Мы попали на след нашего соседа, когда он постоянно играл на своей гитаре late at night. (We got on our neighbor's nerves when he constantly played his guitar late at night.)6. Он попал на след своей девушки, когда он не мог понять ее эмоции. (He got on his girlfriend's nerves when he couldn't understand her emotions.)7. У нас в команде постоянно попадаем на след друг другу, но мы всегда найдем способ преодолеть разногласия. (We always get on each other's nerves in our team, but we always find a way to overcome our differences.)8. Она попала на след своей сестры, когда она не могла использовать ее машину. (She got on her sister's nerves when she couldn't use her car.)9. Мы попали на след нашего босса, когда мы не могли выполнить его задачи. (We got on our boss's nerves when we couldn't complete his tasks.)10. Он попал на след своей коллеги, когда он не мог понять ееpoint of view. (He got on his colleague's nerves when he couldn't understand her point of view.)11. У нас в семье постоянно попадаем на след друг другу, но мы всегда найдем способ преодолеть разногласия. (We always get on each other's nerves in our family, but we always find a way to overcome our differences.)12. Она попала на след своей матери, когда она не могла выполнить ее требования. (She got on her mother's nerves when she couldn't meet her demands.)13. Мы попали на след нашего соседа, когда он постоянно пытался нарушить нашу приватность. (We got on our neighbor's nerves when he constantly tried to violate our privacy.)14. Он попал на след своей девушки, когда он не мог понять ее чувства. (He got on his girlfriend's nerves when he couldn't understand her feelings.)",,,,,
